Site,Plot,Date,Direction,CC_Count,CC,Woody_0.25,Woody_1,Woody_3,Woody_3+,Live_Woody,Dead_Woody,Woody_Height,Live_Herbs,Dead_Herbs,Herb_Height,Cones,Acorns,SG,
Talladega,78,7/6/2022,SW,10,89.6,1,0,0,0,80.00,0,170,10,0,10,1,0,0,
Talladega,79,7/6/2022,SE,5,94.8,5,1,0,19 (2),30.00,0,180,5,0,40,6,0,0,
MOT,57,5/19/2022,SW,1,98.96,,1,1,17 (4),5.00,0,200,30,0,40,0,0,0,
MOT,28,5/18/2022,SW,7,92.72,6,0,3,0,0.00,0,0,5,0,5,3,0,0,
MOT,32,5/18/2022,N,4,95.84,8,3,2,9 (4),0.00,0,0,5,0,5,0,1,0,
MOT,32,5/18/2022,SW,7,92.72,9,2,1,9 (4),0.00,0,0,5,0,5,0,0,0,
Tuskegee,3,6/6/2022,N,5,94.8,4,2,1,0,0.00,0,0,10,0,10,0,0,0,
Tuskegee,3.2,6/6/2022,N,13,86.48,2,1,1,0,0.00,0,0,10,0,10,2,0,0,
Kreher,23,5/19/2022,SW,3,96.88,1,3,0,0,0.00,0,0,10,0,10,0,0,0,
MOT,24,5/19/2022,SW,3,96.88,1,3,0,0,0.00,0,0,10,0,10,0,0,0,
MOT,28,5/18/2022,N,9,90.64,3,0,6,0,0.00,0,0,5,0,10,1,0,0,
MOT,32,5/18/2022,SE,1,98.96,6,1,2,0,0.00,0,0,15,0,10,0,1,0,
MOT,33,5/18/2022,SW,8,91.68,7,4,0,"11 (4), 9 (4)",0.00,0,0,15,0,10,0,0,0,
Tuskegee,47,6/2/2022,SW,9,90.64,6,1,0,0,0.00,0,0,1,0,10,0,1,0,
Tuskegee,48,6/2/2022,SE,3,96.88,4,1,0,0,0.00,0,0,1,0,10,0,1,0,
MOT,57,5/19/2022,SE,5,94.8,0,2,1,"13 (2), 12 (2), 13 (3)",0.00,0,0,10,0,10,0,0,0,
MOT,58,5/19/2022,N,5,94.8,3,0,2,15 (2),0.00,0,0,5,0,10,2,0,0,
MOT,60,5/19/2022,SE,92,4.32,2,2,0,21 (4),0.00,0,0,5,0,10,2,0,2,
Tuskegee,3,6/6/2022,SE,7,92.72,2,0,4,0,0.00,0,0,30,0,15,3,0,0,
Tuskegee,17,6/6/2022,SE,16,83.36,3,0,0,0,0.00,0,0,10,0,15,1,1,0,
Tuskegee,43,6/2/2022,SW,13,86.48,6,2,0,0,0.00,0,0,15,0,15,0,0,0,
CR,105,6/1/2022,SE,2,97.92,3,0,1,0,0.00,0,0,1,0,15,1,1,0,
CR,105,6/1/2022,SW,3,96.88,4,1,2,0,0.00,0,0,5,0,15,2,0,0,
Tuskegee,1,6/6/2022,SE,9,90.64,4,0,1,0,0.00,0,0,20,0,20,1,0,0,
Tuskegee,51,6/2/2022,SE,6,93.76,2,2,1,0,0.00,0,0,10,0,20,1,0,1,
MOT,57,5/19/2022,N,3,96.88,0,2,3,17 (5),0.00,0,0,25,0,20,3,0,0,
MOT,59,5/19/2022,SW,5,94.8,0,3,0,0,0.00,0,0,5,0,20,2,0,0,
CR,103,6/1/2022,N,8,91.68,5,1,2,0,0.00,0,0,20,0,20,3,0,0,
Tuskegee,2,6/6/2022,N,12,87.52,5,1,1,0,0.00,0,0,50,0,30,9,0,0,
Tuskegee,2,6/6/2022,SE,8,91.68,4,3,0,0,0.00,0,0,40,0,30,6,0,2,
Tuskegee,7,6/6/2022,SE,24,75.04,6,2,2,11 (1),0.00,0,0,40,0,30,2,0,0,
Tuskegee,39,6/7/2022,SE,5,94.8,1,0,0,0,0.00,0,0,60,0,30,0,0,0,
Tuskegee,39,6/7/2022,SW,13,86.48,4,1,0,0,0.00,0,0,80,0,30,0,0,0,
Tuskegee,51,6/2/2022,SW,7,92.72,4,2,2,10 (3),0.00,0,0,60,0,30,0,0,0,
MOT,59,5/19/2022,N,6,93.76,2,0,0,0,0.00,0,0,5,0,30,3,0,0,
MOT,27,5/19/2022,SE,5,94.8,1,2,2,0,0.00,0,0,0,0,0,8,0,0,
MOT,31,5/18/2022,SW,5,94.8,5,0,0,"25 (3), 35 (3)",0.00,0,0,0,0,0,5,0,0,
MOT,59,5/19/2022,SE,5,94.8,4,1,0,0,0.00,0,0,0,0,0,4,0,0,
CR,104,6/1/2022,N,4,95.84,3,1,0,0,0.00,0,0,0,0,0,2,0,0,
CR,104,6/1/2022,SW,6,93.76,4,1,0,0,0.00,0,0,0,0,0,4,0,0,
CR,106,6/1/2022,SW,1,98.96,6,2,1,0,0.00,0,0,0,0,0,1,2,0,
